Team,Side,Formation,Package,Play
Indianapolis Colts,Offense,Gun: Straight Open,Straight,50 X/Y Curls
Indianapolis Colts,Offense,Gun: Doubles Right,Kings,90 H Quick Dump
Indianapolis Colts,Offense,Gun: Doubles Right,Kings,Strong Draw
Indianapolis Colts,Offense,Gun: Doubles Right,Kings,50 Double Cross
Indianapolis Colts,Offense,Gun: Doubles Right,Kings,Weak Sweep
Indianapolis Colts,Offense,Gun: Doubles Right,Kings,50 Y Seam
Indianapolis Colts,Offense,Gun: Doubles Right,Kings,Strong Toss
Indianapolis Colts,Offense,Gun: Doubles Right,Kings,90 X/Z Outs
Indianapolis Colts,Offense,Gun: Doubles Right,Kings,Strong Dive
Indianapolis Colts,Offense,Gun: Doubles Right,Kings,50 Double Outs
Indianapolis Colts,Offense,Gun: Doubles Right,Kings,50 H Screen Strong
Indianapolis Colts,Offense,Gun: Doubles Right,Kings,50 Y Stop-n-Go
Indianapolis Colts,Offense,Gun: Doubles Right,Kings,50 A Curl In
Indianapolis Colts,Offense,Gun: Trips Left,Flush,90 X Qk Hitch
Indianapolis Colts,Offense,Gun: Trips Left,Flush,Weak Draw
Indianapolis Colts,Offense,Gun: Trips Left,Flush,50 Y Drag
Indianapolis Colts,Offense,Gun: Trips Left,Flush,Weak Toss
Indianapolis Colts,Offense,Gun: Trips Left,Flush,50 H Circle
Indianapolis Colts,Offense,Gun: Trips Left,Flush,Strong Sweep
Indianapolis Colts,Offense,Gun: Trips Left,Flush,PA Y Under
Indianapolis Colts,Offense,Gun: Trips Left,Flush,Weak Dive
Indianapolis Colts,Offense,Gun: Trips Left,Flush,50 X/A Deep Cross
Green Bay Packers,Offense,I Pro,Pro,90 Z Quick Out
Green Bay Packers,Offense,I Pro,Pro,Strong Iso
Green Bay Packers,Offense,I Pro,Pro,50 Z Quick Out-n-Up
Green Bay Packers,Offense,I Pro,Pro,Weak Zone Bounce
Green Bay Packers,Offense,I Pro,Pro,50 Z Deep Hook
Green Bay Packers,Offense,I Pro,Pro,Strong Power-O
Green Bay Packers,Offense,I Pro,Pro,90 Double Out
Green Bay Packers,Offense,I Pro,Pro,Strong Counter
Green Bay Packers,Offense,I Pro,Pro,50 H Screen Weak
Green Bay Packers,Offense,I Pro,Pro,90 Z Quick Hitch
Green Bay Packers,Offense,I Pro,Pro,Strong Lead Draw
Green Bay Packers,Offense,I Pro,Pro,PA Z Out-n-Up
Green Bay Packers,Offense,I Spread,Queens,90 Y/Z Speed Cross
Green Bay Packers,Offense,I Spread,Queens,Weak Iso
Green Bay Packers,Offense,I Spread,Queens,50 Y/Z Deep Cross
Green Bay Packers,Offense,I Spread,Queens,90 All Stop
Green Bay Packers,Offense,I Spread,Queens,Strong Lead Draw
Green Bay Packers,Offense,I Spread,Queens,50 Z Slip Screen
Green Bay Packers,Offense,I Spread,Queens,PA Y Slam-n-Go
Green Bay Packers,Offense,I Spread,Queens,Strong Power
Green Bay Packers,Offense,I Spread,Queens,RO Z Slide
Green Bay Packers,Offense,I Jokers,Heavy,Weak Toss
Green Bay Packers,Offense,I Jokers,Heavy,90 X Speed Under
Green Bay Packers,Offense,I Jokers,Heavy,Strong Toss
Green Bay Packers,Offense,I Jokers,Heavy,Weak Counter Trap
Green Bay Packers,Offense,I Jokers,Heavy,50 Double Swing
Green Bay Packers,Offense,I Jokers,Heavy,Strong Counter
Green Bay Packers,Offense,I Jokers,Heavy,90 X Lob Corner
Green Bay Packers,Offense,I Jokers,Heavy,Weak Iso
Green Bay Packers,Offense,I Jokers,Heavy,50 TE Out
Green Bay Packers,Offense,I Jokers,Heavy,Weak Power-O
Green Bay Packers,Offense,I Jokers,Heavy,90 Y/TE Hot
Green Bay Packers,Offense,I Jokers,Heavy,Strong Power-O
Green Bay Packers,Offense,I Jokers Pair,Heavy,Weak Counter Trap
Green Bay Packers,Offense,I Jokers Pair,Heavy,90 F Speed Out
Green Bay Packers,Offense,I Jokers Pair,Heavy,Strong Iso
Green Bay Packers,Offense,I Jokers Pair,Heavy,Weak G-Toss
Green Bay Packers,Offense,I Jokers Pair,Heavy,50 TE Out
Green Bay Packers,Offense,I Jokers Pair,Heavy,Strong Power-O
Green Bay Packers,Offense,I Jokers Pair,Heavy,Weak Toss
Green Bay Packers,Offense,I Jokers Pair,Heavy,50 TE Swing Strong
Green Bay Packers,Offense,I Jokers Pair,Heavy,Strong Power
Green Bay Packers,Offense,I Jokers Pair,Heavy,50 H Screen Weak
Green Bay Packers,Offense,I Jokers Pair,Heavy,Weak Lead Draw
Green Bay Packers,Offense,I Jokers Pair,Heavy,H Lead Shovel
Green Bay Packers,Offense,I Jokers Flip Pair,Heavy,Weak Counter Trap
Green Bay Packers,Offense,I Jokers Flip Pair,Heavy,50 X Slant-n-Go
Green Bay Packers,Offense,I Jokers Flip Pair,Heavy,Strong Toss
Green Bay Packers,Offense,I Jokers Flip Pair,Heavy,Weak Iso
Green Bay Packers,Offense,I Jokers Flip Pair,Heavy,90 F Speed Out
Green Bay Packers,Offense,I Jokers Flip Pair,Heavy,Strong Power-O
Green Bay Packers,Offense,I Jokers Flip Pair,Heavy,90 TE Flat
Green Bay Packers,Offense,I Jokers Flip Pair,Heavy,Strong Iso
Green Bay Packers,Offense,I Jokers Flip Pair,Heavy,50 TE Arrow
Green Bay Packers,Offense,I Jokers Flip Pair,Heavy,Weak Toss
Green Bay Packers,Offense,I Jokers Flip Pair,Heavy,50 TE Swing Strong
Green Bay Packers,Offense,I Jokers Flip Pair,Heavy,Strong Fold T-Toss
Green Bay Packers,Offense,I Jacks,Jacks,Weak Counter Trap
Green Bay Packers,Offense,I Jacks,Jacks,90 TE Dump
Green Bay Packers,Offense,I Jacks,Jacks,Strong Toss
Green Bay Packers,Offense,I Jacks,Jacks,Weak Toss
Green Bay Packers,Offense,I Jacks,Jacks,PA All Stop
Green Bay Packers,Offense,I Jacks,Jacks,Strong Power
Green Bay Packers,Offense,I Jacks,Jacks,Weak Trap
Green Bay Packers,Offense,I Jacks,Jacks,PA Counter Pass
Green Bay Packers,Offense,I Jacks,Jacks,Strong Iso
Green Bay Packers,Offense,I Jacks,Jacks,Fake Toss Reverse I
Green Bay Packers,Offense,I Jacks,Jacks,PA Y Slant
Green Bay Packers,Offense,I Jacks,Jacks,Strong Power-O
Green Bay Packers,Offense,Weak I Jokers Pair,Heavy,Weak Counter Trap
Green Bay Packers,Offense,Weak I Jokers Pair,Heavy,90 Y/TE Speed Cross
Green Bay Packers,Offense,Weak I Jokers Pair,Heavy,Strong Toss
Green Bay Packers,Offense,Weak I Jokers Pair,Heavy,90 Y Speed Out
Green Bay Packers,Offense,Weak I Jokers Pair,Heavy,Strong Iso
Green Bay Packers,Offense,Weak I Jokers Pair,Heavy,50 X Lob Fade
Green Bay Packers,Offense,Weak I Jokers Pair,Heavy,Weak Toss
Green Bay Packers,Offense,Weak I Jokers Pair,Heavy,90 TE Curl
Green Bay Packers,Offense,Weak I Jokers Pair,Heavy,Weak FB Dive
Green Bay Packers,Offense,Split Pro,Pro,90 Z Speed Under
Green Bay Packers,Offense,Split Pro,Pro,Weak Dive
Green Bay Packers,Offense,Split Pro,Pro,50 Z Deep Drag
Green Bay Packers,Offense,Split Pro,Pro,Weak G-Toss
Green Bay Packers,Offense,Split Pro,Pro,50 Double Swing
Green Bay Packers,Offense,Split Pro,Pro,Strong Power
Green Bay Packers,Offense,Split Pro,Pro,RO X Comeback
Green Bay Packers,Offense,Split Pro,Pro,Strong Sweep
Green Bay Packers,Offense,Split Pro,Pro,PA X Go
Green Bay Packers,Offense,Split Twins,Pro,90 Z Speed Under
Green Bay Packers,Offense,Split Twins,Pro,Strong Iso
Green Bay Packers,Offense,Split Twins,Pro,50 X/Z Cross
Green Bay Packers,Offense,Split Twins,Pro,Weak G-Toss
Green Bay Packers,Offense,Split Twins,Pro,50 Double Swing
Green Bay Packers,Offense,Split Twins,Pro,Strong Counter
Green Bay Packers,Offense,Split Twins,Pro,PA X Out-n-Up
Green Bay Packers,Offense,Split Twins,Pro,Strong FB Dive
Green Bay Packers,Offense,Split Twins,Pro,50 TE Seam
Green Bay Packers,Offense,Split Spread,Queens,90 Double Out
Green Bay Packers,Offense,Split Spread,Queens,Strong Iso
Green Bay Packers,Offense,Split Spread,Queens,50 H/F Wheels
Green Bay Packers,Offense,Split Spread,Queens,Weak Split Toss
Green Bay Packers,Offense,Split Spread,Queens,50 Z Rollaway
Green Bay Packers,Offense,Split Spread,Queens,Strong Sweep
Green Bay Packers,Offense,Split Spread,Queens,RO Z Corner
Green Bay Packers,Offense,Split Spread,Queens,Weak FB Sweep
Green Bay Packers,Offense,Split Spread,Queens,HB Pass
Green Bay Packers,Offense,Split Jokers,Heavy,90 F Speed Out
Green Bay Packers,Offense,Split Jokers,Heavy,Weak Dive
Green Bay Packers,Offense,Split Jokers,Heavy,50 Y/TE Cross
Green Bay Packers,Offense,Split Jokers,Heavy,Weak T-Toss
Green Bay Packers,Offense,Split Jokers,Heavy,50 Double Swing
Green Bay Packers,Offense,Split Jokers,Heavy,Strong Sweep
